Currency	wisdom	Scroll of Wisdom
Currency	transmute	Orb of Transmutation
Currency	greater-orb-of-transmutation	Greater Orb of Transmutation
Currency	perfect-orb-of-transmutation	Perfect Orb of Transmutation
Currency	aug	Orb of Augmentation
Currency	greater-orb-of-augmentation	Greater Orb of Augmentation
Currency	perfect-orb-of-augmentation	Perfect Orb of Augmentation
Currency	chance	Orb of Chance
Currency	alch	Orb of Alchemy
Currency	chaos	Chaos Orb
Currency	greater-chaos-orb	Greater Chaos Orb
Currency	perfect-chaos-orb	Perfect Chaos Orb
Currency	vaal	Vaal Orb
Currency	regal	Regal Orb
Currency	greater-regal-orb	Greater Regal Orb
Currency	perfect-regal-orb	Perfect Regal Orb
Currency	exalted	Exalted Orb
Currency	greater-exalted-orb	Greater Exalted Orb
Currency	perfect-exalted-orb	Perfect Exalted Orb
Currency	divine	Divine Orb
Currency	annul	Orb of Annulment
Currency	artificers	Artificer's Orb
Currency	fracturing-orb	Fracturing Orb
Currency	mirror	Mirror of Kalandra
Currency	hinekoras-lock	Hinekora's Lock
Currency	cryptic-key	Cryptic Key
Currency	sep	
Currency	lesser-jewellers-orb	Lesser Jeweller's Orb
Currency	greater-jewellers-orb	Greater Jeweller's Orb
Currency	perfect-jewellers-orb	Perfect Jeweller's Orb
Currency	scrap	Armourer's Scrap
Currency	whetstone	Blacksmith's Whetstone
Currency	etcher	Arcanist's Etcher
Currency	bauble	Glassblower's Bauble
Currency	gcp	Gemcutter's Prism
Currency	sep	
Currency	transmutation-shard	Transmutation Shard
Currency	chance-shard	Chance Shard
Currency	regal-shard	Regal Shard
Currency	artificers-shard	Artificer's Shard
Fragments	idol-of-estazunti	Idol of Estazunti
Fragments	runic-splinter	Runic Splinter
Fragments	kulemaks-invitation	Kulemak's Invitation
Fragments	breachlord-sac	Breachlord Sac
Fragments	sep	Ultimatum Fragments
Fragments	cowardly-fate	Cowardly Fate
Fragments	deadly-fate	Deadly Fate
Fragments	victorious-fate	Victorious Fate
Fragments	sep	Pinnacle Fragments
Fragments	ancient-crisis-fragment	Ancient Crisis Fragment
Fragments	faded-crisis-fragment	Faded Crisis Fragment
Fragments	weathered-crisis-fragment	Weathered Crisis Fragment
Fragments	primary-calamity-fragment	Primary Calamity Fragment
Fragments	secondary-calamity-fragment	Secondary Calamity Fragment
